model,strategy,mcc,accuracy,precision_macro,recall_macro,macro_f1,auc,brier
XGBoost,smote,0.7221775457811639,0.8349399999999999,0.7787683983315923,0.8273299574574896,0.7965862285354985,0.9551369584710091,0.07541825845837594
XGBoost,class_weight,0.7214581806996916,0.834,0.777777045727637,0.8275587896813456,0.7958921702291637,0.9551864204803808,0.07523002897699674
LightGBM,smote,0.7211942803821906,0.8332066666666668,0.7776251123662459,0.8286105548448497,0.7958634803465938,0.9554161151762969,0.07542073208882452
LightGBM,class_weight,0.7201371223613519,0.8311666666666666,0.7762507365029061,0.8300545100074818,0.794918654579034,0.9557698510210895,0.07576015292152734
CatBoost,smote,0.7195199844632921,0.8327600000000001,0.7767832652248647,0.8264008984506994,0.7946938351133044,0.9539480403070101,0.07674953106293224
Random Forest,class_weight,0.717147887761573,0.8355333333333332,0.7750218994716004,0.817299436672128,0.792228274820023,0.9513704161556316,0.07384109944444443
LightGBM,undersample,0.7166977307053729,0.8279866666666666,0.7740992324046613,0.8294604324910162,0.792683185173588,0.9547854565556755,0.07755340420915131
CatBoost,class_weight,0.7157929252152109,0.8287733333333334,0.7735235481708832,0.8262616564406894,0.7917335430142706,0.953568905752272,0.07794732258164658
XGBoost,undersample,0.7150136385157568,0.8270733333333332,0.7733259705880264,0.8279237002307731,0.791534823675039,0.9535819662175518,0.07911548142631848
CatBoost,undersample,0.7143904813460054,0.8272266666666667,0.7726112084221617,0.8266695197371721,0.7909790555219021,0.9529883576233601,0.07891267574977592
Random Forest,smote,0.7140108293264333,0.8328533333333332,0.7734025335670351,0.8167637587088974,0.7905505313104932,0.9504154136000282,0.07532949533333334
Extra Trees,smote,0.7105934374619823,0.8319866666666667,0.7708595509840273,0.8119913026166753,0.7876246087838065,0.9497017104897039,0.07534435855555557
Extra Trees,class_weight,0.7067590802505886,0.8407333333333333,0.7810555359784848,0.7789750258283925,0.7777649918509157,0.9508954494489534,0.07199485188888888
Random Forest,undersample,0.7042305398203964,0.8188599999999999,0.7655190118845534,0.8227882055915815,0.7838292896627077,0.948559309911847,0.08188863722222223
Extra Trees,undersample,0.6965283887268328,0.8135600000000001,0.7601006426176727,0.8175969373644602,0.7780705015244146,0.946683460780676,0.08386558922222222
KNN,undersample,0.6720287835167853,0.7951866666666667,0.7459707357248125,0.8018551441602535,0.7602402791184967,0.9371290300928358,0.09140382697266264
KNN,smote,0.6678528028097434,0.7957599999999999,0.7423197483504462,0.7936718533701581,0.7564881471287977,0.9330227156640332,0.0920437242560467
Logistic Regression,undersample,0.6536055319820304,0.7896866666666666,0.7384891462774091,0.7800590799159136,0.7488458882275422,0.9228822816301447,0.09713957796596565
Logistic Regression,smote,0.6535780112153549,0.7902799999999999,0.7383832132526507,0.7792502302129406,0.7487919273679415,0.9228964597424015,0.09671174528857537
Logistic Regression,class_weight,0.6534769994466629,0.7895266666666667,0.7384904343253991,0.7800406513971263,0.7487649919548083,0.9228730421520582,0.0971705248577722
