low_mod_cut,mod_high_cut,baseline,model,test_pct_low,test_pct_moderate,test_pct_high,mcc,macro_f1,accuracy,auc
0.3,0.6,False,Logistic Regression,14.2,18.1,67.7,0.6769,0.7713,0.8197,0.9391
0.3,0.6,False,Random Forest,14.2,18.1,67.7,0.719,0.7993,0.8509,0.9573
0.3,0.6,False,XGBoost,14.2,18.1,67.7,0.7246,0.8029,0.8522,0.9607
0.3,0.6,False,LightGBM,14.2,18.1,67.7,0.724,0.8024,0.8488,0.9617
0.3,0.6,False,KNN,14.2,18.1,67.7,0.68,0.7689,0.8456,0.9496
0.3,0.65,False,Logistic Regression,14.2,21.1,64.8,0.6755,0.776,0.8142,0.9359
0.3,0.65,False,Random Forest,14.2,21.1,64.8,0.7216,0.8057,0.8459,0.9558
0.3,0.65,False,XGBoost,14.2,21.1,64.8,0.7247,0.8066,0.8463,0.9595
0.3,0.65,False,LightGBM,14.2,21.1,64.8,0.7274,0.8085,0.8451,0.9604
0.3,0.65,False,KNN,14.2,21.1,64.8,0.6852,0.7799,0.8382,0.9482
0.3,0.7,False,Logistic Regression,14.2,24.0,61.8,0.6716,0.7781,0.8079,0.9327
0.3,0.7,False,Random Forest,14.2,24.0,61.8,0.7226,0.8098,0.8415,0.9543
0.3,0.7,False,XGBoost,14.2,24.0,61.8,0.7276,0.8125,0.8431,0.9583
0.3,0.7,False,LightGBM,14.2,24.0,61.8,0.7298,0.813,0.8422,0.9594
0.3,0.7,False,KNN,14.2,24.0,61.8,0.6877,0.7864,0.8314,0.9466
0.3,0.75,False,Logistic Regression,14.2,26.8,59.0,0.6661,0.7785,0.8013,0.9298
0.3,0.75,False,Random Forest,14.2,26.8,59.0,0.7233,0.8133,0.8379,0.9532
0.3,0.75,False,XGBoost,14.2,26.8,59.0,0.7297,0.8163,0.8406,0.9575
0.3,0.75,False,LightGBM,14.2,26.8,59.0,0.7308,0.8163,0.8394,0.9585
0.3,0.75,False,KNN,14.2,26.8,59.0,0.6889,0.7909,0.8255,0.9452
0.3,0.8,False,Logistic Regression,14.2,29.6,56.2,0.6608,0.7787,0.7954,0.927
0.3,0.8,False,Random Forest,14.2,29.6,56.2,0.7248,0.8169,0.8355,0.9525
0.3,0.8,False,XGBoost,14.2,29.6,56.2,0.7296,0.8187,0.8374,0.9566
0.3,0.8,False,LightGBM,14.2,29.6,56.2,0.7307,0.8189,0.8369,0.9577
0.3,0.8,False,KNN,14.2,29.6,56.2,0.6884,0.7938,0.82,0.9438
0.35,0.6,False,Logistic Regression,17.1,15.2,67.7,0.6661,0.7529,0.8096,0.9342
0.35,0.6,False,Random Forest,17.1,15.2,67.7,0.7125,0.7843,0.8471,0.9539
